"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","29-juil.-2026","DRKN8442","Kin_Malueka_Nkotila","29/07/2026 07:54:36","29/07/2026 08:08:00","0","0,24","35","Passive","Site Down lors du Changement de secteur
DG 20 KVA ne supporte plus la charge du site, le site a 4 tenant don orange a deux ligne vu la charge le BBU ne charge pas","Demarrage du DG","Non","TRB1395382"
"2","29-juil.-2026","DRKN0120","Ngomba Kikusa","29/07/2026 09:09:52","29/07/2026 10:41:00","0","1,53","30","Passive","CB DC box swich Off Tenant Airtel Overload Calibre 80A Load  111 A","Eclenchement CB","Non","TRB1395424"
"3","29-juil.-2026","DRKN7520","Kin_Station_Macampagne_2","29/07/2026 11:16:21","29/07/2026 11:43:00","0,17","0,45","25","Passive","Les BBU ne chargeait pas à cause de LVD qui avait laché","Reset de LVD","Non","TRB1395474"
"4","29-juil.-2026","DRKN2139","Nguba","29/07/2026 02:36:36","29/07/2026 03:05:00","0","0,48","35","Passive","Electrovane Faulty","By pass","Non","TRB1395610"
"5","29-juil.-2026","DRKN2082","Kinshasa_Pecheur","29/07/2026 21:10:02","29/07/2026 22:32:00","1,5","1,37","30","Passive","airtel CB switch off dans la BBS provoqué par une surchauffe","CB switch on","Non","TRB1395767"
"6","29-juil.-2026","DRKN7235","Kin_CS_Mbudi","29/07/2026 21:07:00","29/07/2026 22:21:00","0","1,24","30","Passive","déclanchement du disjoncteur de vodacom dans la DC box causé par le load qui dépasse son calibre","enclenchement manuel en attendant la création de la deuxieme ligne","Non","TRB1395811"
"7","29-juil.-2026","DRKN0142","College Saint Ignace","29/07/2026 22:40:41","29/07/2026 22:58:00","0,5","0,29","30","Passive","Chauffage DG due au Diminution coolan","Ajout coolant et démarrage DG","Non","TRB1395831"
"8","29-juil.-2026","DRKN2141","Kin_Masangambila","29/07/2026 22:34:00","29/07/2026 23:14:00","0","0,68","25","Passive","DG Overloade de 20 kVA ne supporte plus la charge du site. La charge atteint jusqu'à 240 A.","Le site est actuellement alimenté par le  (Grid).","Non","TRB1395793"
"9","29-juil.-2026","DRKN8123","Station_Brikin","29/07/2026 21:07:00","29/07/2026 22:21:00","0","1,24","30","Passive","Coolant High Temperature DG 20 kVA ne supporte plus la charge du site","Ajout de liquide de refroidissement (coolant)","Non","TRB1395805"
