"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","16-août-2026","DRKN0192","Bondo","16/08/2026 12:36:57","16/08/2026 13:43:00","0","1,11","15","Passive","CB switch off  High temp au niveau de la BBS du au fan bouché(DOWN instable )","Fans cleanés  et enclenchement BBS","Non","TRB1405356"
"2","16-août-2026","DRKN0088","Centre Cbco","16/08/2026 13:07:00","16/08/2026 13:22:00","1,28","0,26","","Passive","Une ligne de grid au niveau de AC mains qui surchauffe n'a pas permis que le rectifier puisse bien  chargé les batteries backUp, qui a créé Une décharge de bbu,","grid réparé","Non","TRB1405337"
"3","16-août-2026","DRKN0221","Herady","16/08/2026 13:51:00","16/08/2026 14:28:00","0,52","0,62","","Passive","Mauvaise qualité Grid (Grid Instable )","grid isolé momentanement","Non","TRB1405370"
"4","16-août-2026","DRKN7179","Kintambo-Cimetiere","16/08/2026 21:39:28","16/08/2026 22:22:00","0","0,72","","Passive","Tenant Vodacom Overload ( 111 A )","CB switch on","Non","TRB1405559"
"7","16-août-2026","DRKN0206","Mawana","16/08/2026 23:04:00","16/08/2026 23:28:00","0,9","0,4","","Passive","Déclenchement du CB principal AC du DG due à désequilibre entre phase (GRID)  lorsque le site était sous hybride","GRID isolé , CB swith on. site sous DG","","TRB1405571"
"8","16-août-2026","DRKN0753","Tshikapa Ngombe","16/08/2026 23:23:28","16/08/2026 23:35:00","1,38","0,2","","Passive","Dysfonctionnement de la BBS rev 7 . Besoin d'une BBS rev12","Retrait controleur et démarrage du DG","","TRB1405570"
