"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","13-juil.-2026","DRKN0250","Musei","13/07/2026 00:03:13","13/07/2026 02:44:00","0,85","2,69","30","Passive","Oil pressure causé par une dimunition des huiles moteur et il a été aussi constaté une prise d'air causée par un mauvais ajustement du tuyau d'aspiration qui touchait le fond du tank","Ajout Oil, chasser la prise d'air et Reajuster le tuyau","Non","TRB1386901"
"2","13-juil.-2026","DRKN2164","Malueka","13/07/2026 13:15:42","13/07/2026 14:59:00","0","1,73","25","Passive","Grippages de la pompe d'injection","Purge comple du circuit","Non","TRB1387130"
"3","13-juil.-2026","DRKN0026","Materdei - Mitendi","13/07/2026 13:19:00","13/07/2026 14:58:00","0","1,67","25","Passive","Cable DC Airtel Calciné","Jonction Provisoir en attente de son remplacement","Non","TRB1387176"
"4","13-juil.-2026","DRKN7181","Malueka2","13/07/2026 13:43:46","13/07/2026 15:09:00","0","1,43","","Passive","Diminution du niveau de liquide de refroidissement","Ajout de liquide de refroidissement et redémarrage du générateur.","Non","TRB1387230"
"5","13-juil.-2026","DRKN0071","Sangamamba","13/07/2026 15:08:08","13/07/2026 16:12:00","0","1,07","20","Passive","High temp dû défaillance du capteur à température, bise d'air faulty","Nettoyage radiateur, fixation bise d'air, Reset du  capteur de température, reconfiguration positionnement modules sur contrôleur, remplacement des deux autres modules pris en charge puis démarrage","Non","TRB1387258"
"6","13-juil.-2026","DRKN0203","Mazal","13/07/2026 15:52:00","13/07/2026 16:08:00","0,27","0,27","15","Passive","Site down pendant l'exécution de la maintenance préventive (PM) site site sans autonomie","démarrage manuelle du DG","Non","TRB1387266"
"7","13-juil.-2026","DRKN0045","Pigeon Okito","13/07/2026 20:42:00","13/07/2026 21:32:00","0","0,83","20","Passive","Grid power outage and failure to start the diesel generator due to a discharged battery.","Starting the generator with a temporary battery.","Non","TRB1387394"
"8","13-juil.-2026","DRKN0195","Kasa Vubu","13/07/2026 22:09:50","13/07/2026 22:46:00","1,26","0,6","25","Passive","Disjoncteur  déclencher au niveau de ATS( disjoncteur faulty)","Enclenchément manuellement en attendant le remplacement","Non","TRB1387409"
"9","13-juil.-2026","DRKN8097","Kimbuala_Shamba","13/07/2026 23:47:57","14/07/2026 00:04:00","1,17","0,28","25","Passive","DG de 30 KVA n'arrive Plus a supporté la Charge du site qui atteint le 410 A","Démarrage manuelle du DG/ Besoin d'un DG de 60 KVA","Non","TRB1387413"
