"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","28-juil.-2026","DRKN2139","Nguba","28/07/2026 10:08:58","28/07/2026 10:14:00","0,83","0,09","25","Passive","DG overloade site down pendant le changement de secteur","Demarrage DG","","TRB1394855"
"2","28-juil.-2026","DRKN0699","Boboliko","28/07/2026 10:29:29","28/07/2026 12:53:00","0","2,4","30","Passive","Circuit breaker DC box overload cb switch off","cb breaker switch on","","TRB1394882"
"3","28-juil.-2026","DRKN0120","Ngomba Kikusa","28/07/2026 13:11:01","28/07/2026 15:41:00","0","2,51","30","Passive","airtel overloade CB calcine","Enclenché","","TRB1394976"
"5","28-juil.-2026","DRKN8442","Kin_Malueka_Nkotila","28/07/2026 19:03:29","28/07/2026 23:52:00","0","4,82","30","Passive","DG 20KVA Overload la charge  varie jusqu'à 307A,  besoin du nouveau générateur de 30kva pour stabiliser la site","Ajout coolant","","TRB1395119"
"6","28-juil.-2026","DRKN0699","Boboliko","28/07/2026 17:49:45","28/07/2026 18:48:00","0","0,98","25","Passive","CB Off on BBS, Vodacom overload 145A","Enclenché","","TRB1395090"
"7","28-juil.-2026","DRKN0120","Ngomba Kikusa","28/07/2026 19:11:36","28/07/2026 20:41:00","0","1,49","25","Passive","CB Off on DC Box, Airtel overload 111A","Enclenché","","TRB1395123"
"8","28-juil.-2026","DRKN0699","Boboliko","28/07/2026 20:35:55","28/07/2026 20:50:00","0","0,25","25","Passive","CB Off on BBS, Vodacom overload 145A","Enclenché","","TRB1395151"
"9","28-juil.-2026","DRKN0202","Mbanza Mpa","28/07/2026 20:28:00","28/07/2026 21:32:00","0","1,08","25","Passive","CB Switch off  dans BBS, Orange overload 127A","Enclenché","","TRB1395146"
"10","28-juil.-2026","DRKN0247","Malueka","28/07/2026 21:29:00","28/07/2026 22:03:00","0","0,58","25","Passive","CB Switch Off dans le DC Box, Orange Overlodoad 117A","Enclenché","","TRB1395181"
