"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","01-août-2026","DRKN8284","Mbudi-Conseiller","01/08/2026 08:37:36","01/08/2026 08:48:00","0","0,18","25","Passive","Brûlure du câble DC de Vodacom à l’entrée du CB Vodacom au niveau de la BBS, due à une surcharge.","Remplacement de la partie du câble brûlée effectué. ///Une seconde ligne est nécessaire pour Vodacom afin de mieux répartir la charge. ( overload)","Non","TRB1397173"
"2","01-août-2026","DRKN8442","Kin_Malueka_Nkotila","01/08/2026 09:51:36","01/08/2026 10:47:00","0","0,93","30","Passive","L'instabilité du site est provoquée par le DG de 20KVA est overloadé qui n'arrive plus à supporter la charge du site.","Délestage de quelques batteries afin de permettre au DG de respirer","Non","TRB1397212"
"3","01-août-2026","DRKN0069","Bumba","01/08/2026 18:41:36","01/08/2026 18:57:00","0,02","0,26","20","Passive","Dg de 30kva ne supporte pas la charge de deux sites","Délestage de 2 BBU sur 5 et retrait de 3 modules HUAWEI sur 6 site sous Generateur","Non","TRB1397391"
"4","01-août-2026","DRKN8442","Kin_Malueka_Nkotila","01/08/2026 19:03:03","01/08/2026 19:14:00","0","0,18","20","Passive","DG 20Kva Oveload, besoin d'un 30Kva","Délestage de quelques batteries","Non","TRB1397439"
"5","01-août-2026","DRKN7216","Kin_Binza_Wendo","01/08/2026 20:02:44","01/08/2026 22:59:00","0","2,94","20","Passive","Cremaillère et pompe d'injection Faulty","Cremaillère débloqué et nettoyage de la pompe","Non","TRB1397466"
"6","01-août-2026","DRKN0697","Ex. Maternité","01/08/2026 20:44:00","01/08/2026 22:03:00","0","1,32","30","Passive","CB Off dans la DC Box Orange Overload 124A/","Enclenché","Non","TRB1397480"
"8","01-août-2026","DRKN8442","Kin_Malueka_Nkotila","01/08/2026 21:47:00","01/08/2026 22:03:00","0","0,28","20","Passive","Dg de 30kva ne supporte pas la charge de deux sites","Délestage de 2 BBU sur 5 et retrait de 3 modules HUAWEI sur 6 site sous Generateur","Non","TRB1397510"
