"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","03-juil.-2026","DRKN2194","IPN-Marine","03/07/2026 15:10:10","03/07/2026 17:11:00","0,63","2,03","20","Passive","Site sans DG , Départ du GRID du au Déclenchement disjoncteur AC main GRID faulty","Disjoncteur Grid remplacé","Non","TRB1382510"
"2","03-juil.-2026","DRKN2194","IPN-Marine","03/07/2026 17:20:30","03/07/2026 18:14:00","0,63","0,9","20","Passive","Site sans DG , Départ du GRID du au Déclenchement disjoncteur AC main GRID faulty","Disjoncteur Grid remplacé","Non","TRB1382510"
"3","03-juil.-2026","DRKN6883","Lacolline2","03/07/2026 18:48:04","03/07/2026 19:33:00","0,65","0,75","30","Passive","Le disjoncteur de Load du DG s'est déclenché suite à l'instabilité du Grid","le Grid a été isolé, le disjoncteur a été réenclenché manuellement, démarrange DG.","Non","TRB1382594"
"4","03-juil.-2026","DRKN2099","Kinshasa_Bunda","03/07/2026 19:02:04","03/07/2026 23:29:00","0","4,45","25","Passive","CB du tenant orange Off au niveau de DC Box, Orange Overloade, le load attaint jusqu'à 63 A avec un CB de 63 A","Enclechement manuel du CB","Non","TRB1382612"
"5","03-juil.-2026","DRKN0171","Kimwenza Gare","03/07/2026 20:29:04","03/07/2026 20:58:00","0,65","0,49","25","Passive","hybride lors du changement de secteur le contrôleur DPSEA figé","","Non","TRB1382622"
"6","03-juil.-2026","DRKN2164","Malueka","03/07/2026 21:36:57","03/07/2026 21:59:00","0","0,38","30","Passive","Fuel contaminé","Nettoyage circuit fuel purge et demarrage DG","Non","TRB1382624"
"7","03-juil.-2026","DRKN0125","Maman Mobutu","03/07/2026 19:48:29","03/07/2026 20:48:00","0","1","","","Câble brûlé au niveau de  DC Box   CB du tenant Vodacom Off au niveau de DC Box, Vodacom Overloade, le load attaint jusqu'à 125 A avec un CB de 122A","Enclechement manuel du CB","Non","TRB1382620"
