"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","20-juil.-2026","DRKN2081","Kinshasa_Kisiama","20/07/2026 11:35:22","20/07/2026 13:26:00","0,98","1,86","30","Passive","Diminution d'huile due au Bourrage Avant et Arrière faulty","Ajout d'huile & Démarrage DG","Non","TRB1390677"
"2","20-juil.-2026","DRKN8150","Kitambo_Equateur","20/07/2026 14:06:22","20/07/2026 14:17:00","0","0,19","20","Passive","insuffisance des modules (2 Faulty/6)","2 modules ajoutées, site sous DG","Non","TRB1390787"
"3","20-juil.-2026","DRKN2164","Malueka","20/07/2026 20:17:31","20/07/2026 21:09:00","0","0,87","30","Passive","CB Mains Load DG Switch off et faible Autonomie (BBU pas chargé) 3 slots/9 pas fonctionnels","site Up by Grid et CB Switch On et 9/9 Slots alimentés","Non","TRB1390915"
"4","20-juil.-2026","DRKN8305","Regideso-Ngaliema","20/07/2026 22:43:35","20/07/2026 23:22:00","1,23","0,65","30","Passive","High temp dû à la diminution du liquide de refroidissemet et Gave Switch Faulty","Ajout de 4L de coolant et Excitation directe; site sous GE","Non","TRB1390936"
"5","20-juil.-2026","DRKN0699","Boboliko","20/07/2026 22:10:17","20/07/2026 23:19:00","0","1,15","20","Passive","CB Off, Vodacom Overload avec un load de 120A","Encleché","Non","TRB1390955"
