"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","25-juin-2026","DRKN2246","Kinshasa_Lulendo","25/06/2026 08:15:32","25/06/2026 09:01:00","0,68","0,76","","Passive","Instabilité du Grid (coupures intempestives), ayant occasionné une prise d'air au niveau du  (DG)","Chasse de la prise d'air effectuée, isolation temporaire du réseau (grid) et démarrage du DG","Non","TRB1378550"
"2","25-juin-2026","DRKN2246","Kinshasa_Lulendo","25/06/2026 09:20:11","25/06/2026 09:38:00","0","0,31","25","Passive","Instabilité du Grid (coupures intempestives), ayant occasionné une prise d'air au niveau du  (DG)","Chasse de la prise d'air effectuée, isolation temporaire du réseau (grid) et démarrage du DG","Non","TRB1378550"
"3","25-juin-2026","DRKN8190","Kin_Mbudi_Nature","25/06/2026 15:38:00","25/06/2026 16:08:00","0","0,51","25","Passive","Le dysfonctionnement de l'hybride(INVESTIGATION en cours)","démarrage DG manuel","Non","TRB1378709"
"4","25-juin-2026","DRKN0190","Cuba","25/06/2026 16:31:12","26/06/2026 00:04:00","0,94","7,55","30","Passive","AVR Faulty","AVR Remplacé et démarrage DG","Non","TRB1378688"
"5","25-juin-2026","DRKN2037","Station_Ma_Campagne2","25/06/2026 18:35:35","25/06/2026 18:41:00","1,33","0,1","25","Passive","Low Voltage : suite à la décharge des batteries (BBU)","2 des 6 strings ont été délestés. Un reset du module sous DG","Non","TRB1378770"
"6","25-juin-2026","DRKN0191","Kitomesa","25/06/2026 18:48:00","25/06/2026 19:00:00","3,13","0,2","30","Passive","Down au moment de changement de secteur","Site sous DG","Non","TRB1378736"
"7","25-juin-2026","DRKN2099","Kinshasa_Bunda","25/06/2026 20:53:00","25/06/2026 21:29:00","0,38","0,6","25","Passive","Circuit de l'électrovanne desserré.","Raccordement resserré. site sous DG","","TRB1378836"
"8","25-juin-2026","DRKN2037","Station_Ma_Campagne2","25/06/2026 22:44:00","25/06/2026 23:01:00","1,25","0,28","25","Passive","Low Voltage : suite à la décharge des batteries (BBU)","2 des 6 strings ont été délestés. Un reset du module sous DG","","TRB1378856"
"9","25-juin-2026","DRKN0206","Mawana","25/06/2026 23:00:00","26/06/2026 01:02:00","0","2,03","","Passive","Alarme : Gain Under Frequency. Cause identifiée : crémaillère bloquée en raison d'une pompe d'injection bouchée.","déblocage de la crémaillère et nettoyage de la pompe d'injection. Et demarrage DG","","TRB1378880"
