"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","02-juil.-2026","DRKN2250","College-Ylis2","02/07/2026 09:33:57","02/07/2026 09:50:00","0,77","0,28","30","Passive","breaker power C63 qui avait lâché au niveau de la BBS à cause d'un mauvais sérrage des cables du client","Serrage cables  puis switch on","Non","TRB1381943"
"2","02-juil.-2026","DRKN2168","Mbudi","02/07/2026 14:06:05","02/07/2026 14:33:00","0,77","0,46","30","Passive","Alarme Under fréquence to DG ( première investigation DG overload ) . Retrait de 3/8 batteries","réglage manuel de la fréquence et démarrage du DG","Non","TRB1382070"
"3","02-juil.-2026","DRKN0064","Sola","02/07/2026 15:06:02","02/07/2026 15:40:00","0,1","0,57","30","Passive","Site Down pendant le changement  de secteur ( DG vers GRID ) , les BBU étaient d&chargées.","Site sous Grid","Non","TRB1382106"
"4","02-juil.-2026","DRKN2168","Mbudi","02/07/2026 16:31:40","02/07/2026 16:43:00","0,13","0,2","10","Passive","Alarme Under fréquence to DG ( première investigation DG overload ) . Retrait de 3/8 batteries","réglage manuel de la fréquence et démarrage du DG","Non","TRB1382152"
"5","02-juil.-2026","DRKN0249","Ngomba Kikusa","02/07/2026 19:12:49","02/07/2026 20:21:00","0","1,14","25","Passive","Airtel Overload","Enclenchement manuelle","Non","TRB1382190"
"6","02-juil.-2026","DRKN8097","Kimbuala_Shamba","02/07/2026 21:45:36","02/07/2026 21:52:00","0","0,12","10","Passive","CB Off  dans la BBS Overload calibre 125A Load 170A","Enclenchement manuelle","Non","TRB1382252"
"7","02-juil.-2026","DRKN0064","Sola","02/07/2026 21:33:06","02/07/2026 22:20:00","0","0,78","20","Passive","Airtel Overload","Enclenchement manuelle","Non","TRB1382234"
"8","02-juil.-2026","DRKN0249","Ngomba Kikusa","02/07/2026 23:08:39","03/07/2026 00:30:00","0","1,36","30","Passive","Airtel Overload","Enclenchement manuelle","Non","TRB1382190"
