"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","14-juil.-2026","DRKN8097","Kimbuala_Shamba","14/07/2026 01:01:52","14/07/2026 05:21:00","0","4,33","","Passive","CB DC box Orange switch off tenant Orange Overload la load atteint le 172 A","Enclenchement manuelle CB","Non","TRB1387470"
"2","14-juil.-2026","DRKN8097","Kimbuala_Shamba","14/07/2026 09:43:52","14/07/2026 11:20:00","0","1,62","25","Passive","CB du tenant orange Off au niveau de DC Box, Orange Overloade, le load attaint jusqu'à 154 A avec un CB de 80 A","Enclenchement manuelle CB","Non","TRB1387607"
"3","14-juil.-2026","DRKN0101","Ep4 Makelele","14/07/2026 12:57:17","14/07/2026 13:30:00","1,61","0,55","30","Passive","Electrovanne faulty","Electrovanne by-passer et démarrage du DG","Non","TRB1387656"
"4","14-juil.-2026","DRKN0249","Ngomba Kikusa","14/07/2026 14:05:17","14/07/2026 14:16:00","0","0,18","10","Passive","3/8 modules faulty","3 module remplacé et démarrage du DG","Non","TRB1387761"
"5","14-juil.-2026","DRKN8963","Pompage_Malache","14/07/2026 14:25:17","14/07/2026 15:20:00","12,57","0,93","25","Passive","Batterie de démarrage déchargée","Usage batterie Auxilliaire et demarrage DG","Non","TRB1387740"
"6","14-juil.-2026","DRKN0202","Mbanza Mpa","14/07/2026 20:35:40","14/07/2026 21:45:00","0","1,17","","Passive","CB DC box Orange switch off tenant Orange Overload la load atteint le 124 A","Enclenchement manuelle CB","Non","TRB1387980"
"7","14-juil.-2026","DRKN8454","New Okapi","14/07/2026 21:11:33","14/07/2026 21:26:00","1,67","0,24","","Passive","Probleme de configuration de la BBS","BBS reconfigurer","Non","TRB1387942"
"8","14-juil.-2026","DRKN8454","New Okapi","14/07/2026 22:07:58","14/07/2026 22:14:00","0","0,12","","Passive","Probleme de configuration de la BBS","BBS reconfigurer","Non","TRB1387942"
