"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","04-juil.-2026","DRKN6911","Avenue_Kananga","04/07/2026 03:11:33","04/07/2026 04:11:00","0,52","1","30","Passive","DG Fail to start cause par une alarme Under Voltage","Alarme Reset et DG Demarré","Non","TRB1382718"
"2","04-juil.-2026","DRKN2139","Nguba","04/07/2026 08:30:33","04/07/2026 09:13:00","0","0,72","25","Passive","Insuffisance modules, 1/5 modules faulty","besoin d'un module","Non","TRB1382809"
"3","04-juil.-2026","DRKN7650","Mavallee","04/07/2026 10:24:33","04/07/2026 11:20:00","1,41","0,93","50","Passive","courroie coupée","courroie remplacée","Non","TRB1383056"
"4","04-juil.-2026","DRKN0129","Camp Luka","04/07/2026 12:36:36","04/07/2026 14:56:00","0,44","2,32","25","Passive","Capteur de temperature thermostat faulty","capteur Bypassé","Non","TRB1382891"
"5","04-juil.-2026","DRKN0202","Mbanza Mpa","04/07/2026 13:39:14","04/07/2026 14:35:00","0","0,93","30","Passive","DG de 20Kva Overload, le load atteint 302A","Delestage de 2/4 batteries","Non","TRB1382937"
"6","04-juil.-2026","DRKN0201","Mama Yemo","04/07/2026 17:33:00","04/07/2026 20:17:00","0","2,73","20","Passive","CB calciné tenant Airtel Overload la load  atteint le  102 A pour un CB de 100 A","/ CB remplacer","Non","TRB1383056"
"7","04-juil.-2026","DRKN0206","Mawana","04/07/2026 18:15:29","04/07/2026 20:46:00","0","2,51","30","Passive","CB BBS tenant Airtel  switch off  du high temp au niveau de la BBS, Fan faulty","CB enclenché manuellement","Non","TRB1383042"
"8","04-juil.-2026","DRKN0158","Mandiangu","04/07/2026 22:04:02","04/07/2026 22:45:00","2,5","0,7","35","Passive","Radiateur bouché","radiateur cleaned et added coolant DG restored","Non","TRB1383113"
"9","04-juil.-2026","DRKN8048","Route_Sebo","04/07/2026 21:23:38","04/07/2026 23:07:00","0","1,73","20","Passive","CB switch off tenant orange Overload la load  atteint le  133 A pour un CB de 100 A","CB enclenché manuellement","Non","TRB1383137"
