"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","22-juin-2026","DRKN0247","Malueka","22/06/2026 14:38:00","22/06/2026 15:59:00","0","1,35","","Passive","batterie de démarrage déchargée.","Démarrage par la battérie de secours","","TRB1377117"
"2","22-juin-2026","DRKN0247","Malueka","22/06/2026 17:29:00","22/06/2026 17:41:00","0","0,2","","Passive","site down pendant la restauration du grid","site sous DG","","TRB1377191"
"3","22-juin-2026","DRKN0249","Ngomba Kikusa","22/06/2026 20:37:26","22/06/2026 22:39:00","0","2,03","","Passive","CB Off au DC Box, Airtel Overload; le load arrive à 104A pour un CB de 100A","Enclenché","","TRB1377275"
"4","22-juin-2026","DRKN0097","St Philippe","22/06/2026 23:12:00",,"0","0","","Passive","Site situé dans une zone rouge, l'intervention le matin","","","TRB1377263"
