"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","09-août-2026","DRKN7181","Malueka2","09/08/2026 13:08:00","09/08/2026 14:24:00","0","1,27","30","Passive","Le DG 20KVA ne supporte plus la charge overload","instalation d'un nouveau DG de 30kva","Non","TRB1401498"
"2","09-août-2026","DRKN7628","New_Matadi_Kibala_2","09/08/2026 14:32:33","09/08/2026 14:42:00","0,87","0,17","25","Passive","Le DG 30KVA ne supporte plus la charge overload","Délestage 2 strings sur 4 et demarrage DG","Non","TRB1401510"
"3","09-août-2026","DRKN0006","Kimbwala","09/08/2026 18:19:41","09/08/2026 18:58:00","0","0,65","25","Passive","CB Off dans la BBS Vodacom Overload 144A","Enclenché","Non","TRB1401607"
"4","09-août-2026","DRKN2141","Kin_Masangambila","09/08/2026 20:05:34","09/08/2026 21:00:00","0","0,92","25","Passive","Insuffisance de modules, le site a 6 modules (Seul Airtel down)","Ajout d'un module et demarrage DG","Non","TRB1401647"
"5","09-août-2026","DRKN0006","Kimbwala","09/08/2026 21:23:06","10/08/2026 02:38:00","0","5,25","30","Passive","CB Off dans la BBS Vodacom Overload 144A","Enclenché","Non","TRB1401679"
"6","09-août-2026","DRKN8079","EP_Mobokoli","09/08/2026 21:21:50","09/08/2026 23:13:00","0","1,86","30","Active","CB Off dans DC BBS, Airtel Overload 125A","Enclenché","Non","TRB1401674"
"7","09-août-2026","DRKN2210","Kinsuka","09/08/2026 23:08:34","09/08/2026 23:19:00","1,97","0,18","30","Passive","Site High Load, un module Faulty sur 9","retrait du module Faulty et démarrage du générateur Grid isolé provisoirement, site sous Générateur","Non","TRB1401672"
"8","09-août-2026","DRKN0164","Bianda","09/08/2026 22:21:11","09/08/2026 23:28:00","0","1,12","30","Passive","CB Off dans DC Box, Airtel Overload","Enclenché","Non","TRB1401700"
