"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"1","10-août-2026","DRKN2141","Kin_Masangambila","10/08/2026 08:57:16","10/08/2026 09:23:00","0,58","0,43","30","Passive","DG issue overload","Site up by grid","Non","TRB1401885"
"2","10-août-2026","DRKN2141","Kin_Masangambila","10/08/2026 09:30:09","10/08/2026 10:52:00","0","1,37","25","Passive","DG issue overload","Site up by grid","Non","TRB1401885"
"3","10-août-2026","DRKN7628","New_Matadi_Kibala_2","10/08/2026 11:08:32","10/08/2026 11:44:00","1","0,61","30","Passive","Hight temp (Radiateur bouché)","Radiateur nettoyer","Non","TRB1401920"
"4","10-août-2026","DRKN2141","Kin_Masangambila","10/08/2026 13:49:10","10/08/2026 14:31:00","0","0,7","30","Passive","Le DG 20KVA ne supporte plus la charge overload","instalation d'un nouveau DG de 30kva","Non","TRB1402050"
"5","10-août-2026","DRKN2141","Kin_Masangambila","10/08/2026 14:56:58","10/08/2026 15:21:00","0","0,4","25","Passive","Le DG 20KVA ne supporte plus la charge overload","instalation d'un nouveau DG de 30kva","Non","TRB1402050"
"6","10-août-2026","DRKN7628","New_Matadi_Kibala_2","10/08/2026 15:55:08","10/08/2026 16:29:00","0","0,57","30","Passive","Le DG 20KVA ne supporte plus la charge overload","Délestage 2 strings sur 4 et demarrage DG","Non","TRB1402114"
"8","10-août-2026","DRKN8079","EP_Mobokoli","10/08/2026 18:19:00","10/08/2026 19:39:00","0","1,33","20","Passive","Déclanchement du disjoncteur de Airtel dans la BBS causé par le load qui dépasse son calibre","enclenchement manuel en attendant la création de la deuxieme ligne.","Non","TRB1402182"
"9","10-août-2026","DRKN7628","New_Matadi_Kibala_2","10/08/2026 20:07:00","10/08/2026 22:26:00","0","2,32","30","Passive","Le DG 20KVA ne supporte plus la charge overload","Délestage 2 strings sur 4 et demarrage DG","Non","TRB1402206"
"10","10-août-2026","DRKN0221","Herady","10/08/2026 18:39:00","10/08/2026 21:52:00","0","3,22","40","Passive","deux modules faulty 7/9","remplacer 2 modules","Non","TRB1402184"
