"#","Outage Date","Site ID","Site Name","Outage Start","Outage End","Alarm Before Down (h)","Outage Duration (h)","ETA (min)","Passive/Active","RCA","Resolution Comment","Fuel Outage","TRB Ref"
"2","10-juil.-2026","DRKN0202","Mbanza Mpa","10/07/2026 10:50:00","10/07/2026 11:01:00","0","0,18","25","Passive","Le DG de 20 kVA ne supporte pas le load ( 317 A )","","Non","TRB1385765"
"2","10-juil.-2026","DRKN0117","Kimbualea 2","10/07/2026 11:40:00","10/07/2026 12:13:00","0,17","0,55","15","Passive","Dysfonctionnement du gave switch qui a basculé à la postion 2 alors qu'il n'y avait de GRID sur site","Démarrage manuel du DG","Non","TRB1385781"
"3","10-juil.-2026","DRKN0202","Mbanza Mpa","10/07/2026 14:51:00","10/07/2026 15:32:00","0","0,68","","Passive","Le DG de 20 kVA ne supporte pas le load ( 317 A )","","Non","TRB1385841"
"4","10-juil.-2026","DRKN0025","Ipn2","10/07/2026 15:06:00","10/07/2026 16:54:00","0","1,8","","Passive","Déclenchement du CB Airlet dans la BBS","CB switch on","Non","TRB1385862"
"5","10-juil.-2026","DRKN0117","Kimbualea 2","10/07/2026 15:59:00","10/07/2026 16:20:00","0","0,35","","Passive","Dimunution du fuel dans le DG back-up .Appoint de 30 L prit dans l'ancien DG","","Non","TRB1385884"
"6","10-juil.-2026","DRKN0006","Kimbwala","10/07/2026 16:52:00","10/07/2026 17:50:00","1,03","0,97","","Passive","Alarme Coolant Hight Temp to DG due à un load élevé ( DG de 30 kVA overload , 415.3 A  ) .","Ajout coolant et démarrage du DG","Non","TRB1385882"
"7","10-juil.-2026","DRKN0117","Kimbualea 2","10/07/2026 18:57:00","10/07/2026 19:38:00","0","0,69","","Passive","Deux pôle de circuit breaker AC/ 63A d'effectuer","Baypasser provisoirement","Non","TRB1385932"
"8","10-juil.-2026","DRKN0202","Mbanza Mpa","10/07/2026 19:29:22","10/07/2026 20:03:00","0","0,56","","Passive","Declenchement CB Orange dans la BBS","Enclenchement du CB","Non","TRB1385942"
"9","10-juil.-2026","DRKN0202","Mbanza Mpa","10/07/2026 22:46:14","10/07/2026 23:43:00","0","0,95","","Passive","Declenchement CB Orange dans la BBS","Enclenchement du CB","Non","TRB1386018"
